Country, Both sexes, Male, Female
Japan,19.1,24,14
Jordan,22.8,24.5,21.1
Kazakhstan,27.3,30,24.6
Kenya,26.4,26.3,26.3
Kiribati,21.5,24,18.9
Kuwait,26.4,28.1,23.3
Kyrgyzstan,26.6,27.3,25.6
Lao People's Democratic Republic,25.1,24.9,25.2
Latvia,30.3,36.5,24.5
Lebanon,21.8,23.9,19.6
Lesotho,29,26.4,30.5
Liberia,29.1,29.2,28.9
Libya,25.5,26.6,24.3
Lithuania,30.8,37.1,25.1
Luxembourg,24.6,30.9,18.2
Madagascar,28.1,28,28.1
Malawi,28.1,27.1,28.6
Malaysia,24.3,26.7,22.1
Maldives,24.5,27.2,21.9
Mali,32.6,31.3,33.5
Malta,22.2,27.2,16.9
Marshall Islands,22,24.4,19.4
Mauritania,33.3,33.5,32.8
Mauritius,25.4,27,23.7
Mexico,20.9,23,18.9
Micronesia (Federated States of),24.1,25.9,22.3
Monaco,No data,No data,No data
Mongolia,30.5,33.7,27.3
Montenegro,30.5,35.6,25.5
Morocco,27.4,27.2,27.5
Mozambique,29,28.4,29.3
Myanmar,24.5,24.6,24.2
Namibia,29.5,29.3,29.4
Nauru,22.1,25.3,18.9
Nepal,28.9,29.1,28.9
Netherlands,21.4,26.1,16.6
New Zealand,18,21.3,14.9
Nicaragua,21.6,22.2,20.9
Niger,33.4,31.8,35.2
Nigeria,25.7,24.8,26.5
Niue,24.1,26,22
Norway,22,27.2,16.7
Oman,26.6,27.3,24.8
Pakistan,30.1,30.9,29.2
Palau,24,26.6,21.2
Panama,20.6,22.9,18.3
Papua New Guinea,24.6,24.2,24.6
Paraguay,25.8,29.1,22.4
Peru,15.4,17.5,13.2
Philippines,22.7,24.4,21
Poland,30.1,35.8,24.4
Portugal,26.6,31.5,21.8
Qatar,24.8,25.3,22.1
Republic of Korea,13.5,16.5,10.4
Republic of Moldova,30,33.3,26.7
Romania,30.5,35,25.8
Russian Federation,29.1,33.8,24.6
Rwanda,26.6,25.2,27.6
Saint Kitts and Nevis,25.4,28.1,22.7
Saint Lucia,26.6,29.5,23.7
Saint Vincent and the Grenadines,24.2,26.6,21.7
Samoa,23.3,26.1,20.2
San Marino,No data,No data,No data
Sao Tome and Principe,27.5,28.7,26.2
Saudi Arabia,25.4,26.5,23.7
Senegal,31,30.9,30.9
Serbia,31.1,35.5,26.7
Seychelles,24.4,27.4,21.1
Sierra Leone,31.2,30.4,31.8
Singapore,17,20.5,13.6
Slovakia,29.7,35.5,23.9
Slovenia,31.4,36.6,25.8
Solomon Islands,21.4,20.1,22.8
Somalia,33.3,34.1,32.3
South Africa,28.3,28.5,27.6
South Sudan,No data,No data,No data
Spain,21.7,26.4,17
Sri Lanka,21.9,22.8,20.9
Sudan,No data,No data,No data
Sudan (former),30,30.6,29.4
Suriname,23.5,25.7,21.2
Sweden,22.1,27.4,16.6
Switzerland,19.4,23.9,15
Syrian Arab Republic,25.9,26.3,25.5
Tajikistan,25.6,25.8,25.3
Thailand,22.4,24.2,20.5
Republic of North Macedonia,29.4,33.4,25.2
Timor-Leste,27.5,27,27.7
Togo,29.5,29.2,29.6
Tonga,22.7,24.6,20.7
Trinidad and Tobago,24.8,26.6,22.9
Tunisia,24.8,25.1,24.5
Turkey,22.6,22.1,22.8
Turkmenistan,25.8,26.8,24.6
Tuvalu,24.2,26.4,21.8
Uganda,26.2,25.7,26.6
Ukraine,28.6,33.3,24.2
United Arab Emirates,23.6,24.6,20.5
United Kingdom of Great Britain and Northern Ireland,17.8,21,14.6
United Republic of Tanzania,27,26.3,27.5
United States of America,13.6,15.9,11.2
Uruguay,23.3,27.5,19.1
Uzbekistan,25.4,26.3,24.3
Vanuatu,23.7,23.8,23.6
Venezuela (Bolivarian Republic of),20.6,23.4,17.7
Viet Nam,23.1,24.5,21.4
Yemen,30.6,29.6,31.3
Zambia,27.5,28,26.9
Zimbabwe,28.7,27.5,29.3
